,filename,predictedCategory,actualCategory
0,Sales Tax SAAS Software Service xlsx txt,tax,tax
1,Sales Use Tax Matrix Eze Software Group xlsx txt,tax,tax
2,pdf txt,tax,tax
3,pdf txt,tax,tax
4,pdf txt,tax,tax
5,pdf txt,tax,tax
6,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
7,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
8,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
9,ECTS Confirmation pdf txt,tax,tax
10,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
11,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
12,ECTS Confirmation pdf txt,tax,tax
13,Eze LLC Limited Liability Company Chicago Use Tax Confirmation pdf txt,tax,tax
14,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
15,ECTS Confirmation pdf txt,tax,tax
16,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
17,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
18,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
19,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
20,ECTS Confirmation pdf txt,tax,tax
21,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
22,ECTS Confirmation pdf txt,tax,tax
23,ECTS Confirmation pdf txt,tax,tax
24,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
25,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
26,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
27,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
28,ECTS Confirmation pdf txt,tax,tax
29,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
30,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
31,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
32,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
33,ECTS Confirmation pdf txt,tax,tax
34,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
35,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
36,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
37,Eze LLC Limited Liability Company Confirmation pdf txt,intellectual property,tax
38,ECTS Confirmation pdf txt,tax,tax
39,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
40,ECTS Confirmation pdf txt,tax,tax
41,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
42,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
43,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
44,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
45,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
46,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
47,ECTS Confirmation pdf txt,tax,tax
48,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
49,ECTS Confirmation pdf txt,tax,tax
50,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
51,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
52,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
53,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
54,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
55,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
56,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
57,ECTS Confirmation pdf txt,tax,tax
58,ECTS Confirmation pdf txt,tax,tax
59,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
60,New York Quarterly Sales Tax Return CONFIRMATION pdf txt,tax,tax
61,New York Quarterly Sales Tax Return CONFIRMATION pdf txt,tax,tax
62,New York Quarterly Sales Tax Return CONFIRMATION pdf txt,tax,tax
63,New York Quarterly Sales Tax Return CONFIRMATION pdf txt,tax,tax
64,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
65,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
66,quarters the accounting year Eze LLC Limited Liability Company Confirmation AMENDED pdf txt,tax,tax
67,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
68,quarters the accounting year Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
69,ECTS Confirmation pdf txt,tax,tax
70,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
71,ECTS Confirmation pdf txt,tax,tax
72,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
73,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
74,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
75,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
76,Eze LLC Limited Liability Company Confirmation Minnesota pdf txt,tax,tax
77,Eze LLC Limited Liability Company Confirmation Massachusetts pdf txt,tax,tax
78,Eze LLC Limited Liability Company Confirmation Texas pdf txt,tax,tax
79,Eze LLC Limited Liability Company Confirmation Connecticut pdf txt,tax,tax
80,ECTS Confirmation Texas pdf txt,tax,tax
81,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
82,ECTS Confirmation Connecticut pdf txt,tax,tax
83,quarters the accounting year Sales Use FINAL xlsx txt,tax,tax
84,quarters the accounting year Eze LLC Limited Liability Company Confirmation Return pdf txt,tax,tax
85,quarters the accounting year Eze LLC Limited Liability Company Confirmation Return pdf txt,tax,tax
86,quarters the accounting year Eze LLC Limited Liability Company Confirmation Return pdf txt,tax,tax
87,ECTS Confirmation pdf txt,tax,tax
88,Eze LLC Limited Liability Company Confirmation Denver pdf txt,tax,tax
89,Eze LLC Limited Liability Company Confirmation Moving Average pdf txt,tax,tax
90,ECTS Confirmation pdf txt,tax,tax
91,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
92,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
93,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
94,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
95,ECTS Confirmation pdf txt,tax,tax
96,Eze LLC Limited Liability Company Confirmation pdf txt,tax,tax
